label,sentence;
society,диктант диктант диктант город город город диктант космическ артист русск диктант город  диктант русск 
society,  погибл  сезон  месяц  
society,фильм  молод  погиб молод  режиссер  молод подчеркнул  
society,марафон  марафон марафон город  марафон сотрудник  марафон марафон марафон  марафон  марафон марафон 
auto,  новинк автомобил автомобил  новинк  автомобил доступ
auto,российск компан машин коммерческ автомобил автомобил прибор автомобил  мод автомобил
auto,новинк  автомобил   
auto,программ компан единиц единиц росси  программ автомобил
auto,компан  компан компан компан компан
auto,российск автомобил  автомобил президент  новинк  мод рынк
auto,рынк автомобил  месяц автомобил  продаж  автомобил  мод автомобил  
auto,месяц автомобил оборудован автомобил машин  сравнени автомобил новинк  автомобил представлен  bmw продаж
auto,компан    мод
auto,российск компан программ  программ технолог машин  программ  машин программ автомобил
auto,компан    компан    bmw     мод оборудован автомобил   мод   
auto,российск представлен   водител mercedes   2
auto,машин автомобил российск  компан  погиб
auto,автомобил доступ продаж мод    автомобил  
auto, автомобил 2 2 2  мод доступ электронн  доступ
auto,машин оборудован тахограф прибор гибдд водител тахограф автобус гибдд  гибдд водител компан оборудован прибор устрой водит  машин тахограф водител компан  перевозк  перевозк водител компан оборудован  прибор машин  автобус оборудован тахограф  коммерческ  автобус перевозк оборудован  автобус автобус автобус город  автобус оборудован тахограф автобус перевозк город оборудован прибор  тахограф водител автомобил водит гибдд прибор  тахограф автобус регион  тахограф автобус прибор тахограф 
auto,автомобил автомобил     
auto,продаж продаж автомобил компан компан продаж продаж
auto,машин город улиц улиц депутат район  автомобил  город
auto,улиц 2 2  яндекс  сравнени город  машин
auto,новинк компан автомобил сравнени новинк  представлен автомобил продаж  компан
auto,компан  новинк автомобил сил  новинк автомобил
auto,компан mercedes bmw компан новинк mercedes  компан автомобил bmw  новинк компан mercedes  mercedes
auto,    
auto, автомобил российск автомобил  
auto,месяц коммерческ месяц продаж сравнени 
auto,mercedes истори автомобил сравнени истори компан  продаж mercedes автомобил машин mercedes автомобил автомобил компан bmw автомобил mercedes  регион продаж mercedes продаж
auto,оборудован 2 2 мод 2
auto,дтп месяц автомобил автомобил произошл 
auto,коммерческ украин месяц сравнени автомобил украин коммерческ сравнени коммерческ сравнени показател 2 месяц украин единиц коммерческ автомобил месяц единиц автомобил единиц показател продаж единиц коммерческ показател продаж газ украин коммерческ автомобил показател месяц 2 единиц
auto,компан bmw компан выставк bmw  автомобил bmw
auto,дтп  депутат дтп машин водител дтп  гибдд
sport,российск титул чемпион побед счет 
sport,сезон      сезон трен  чемпионат    сезон чемпион команд
sport,  чемпионат
sport,компан чемпионат матч финал счет команд    ворот   матч
sport,динам  динам    забил гол ворот динам чемпионат
sport,побед сезон    сезон побед побед  побед сезон  побед команд
sport,чемпион президент    титул титул тур  
sport,  команд    сезон
sport,финал встреч счет трен чемпионат  сезон чемпион титул чемпион чемпион сезон команд  трен побед чемпионат сезон побед мяч финал команд финал чемпион чемпионат чемпион команд трен титул команд гол
sport,гол побед  гол побед чемпионат  счет побед хозяев
sport,чемпионат счет  ворот хозяев мяч ворот  гол
sport,чемпионат чемпионат чемпионат турнир российск турнир чемпионат турнир чемпионат турнир чемпионат город  команд команд чемпионат чемпионат российск чемпионат финал
sport,команд  российск
sport,финал хозяев счет финал турнир украин
sport,финал турнир матч встреч финал турнир   
sport,финал чемпион  встреч матч  матч  
sport,команд  атмосфер      чемпион  команд счет  чемпион команд
sport,чемпионат золот
sport,счет матч чемпионат украин мяч мяч гол мяч трен
sport,счет встреч  гол ворот забил  счет мяч забил гол ворот  российск
sport,чемпионат чемпионат турнир  чемпионат команд турнир команд чемпионат  золот  чемпионат команд  чемпионат команд  чемпионат турнир побед матч турнир счет команд  турнир чемпионат турнир  чемпионат произошл золот золот  встреч полиц  чемпионат золот  золот кубк президент чемпионат чемпион  золот    турнир чемпионат чемпионат чемпионат  матч счет трен  счет   чемпионат чемпион    турнир забил гол  чемпионат забил команд   чемпионат забил  забил ворот чемпион побед  ворот ворот    чемпионат команд турнир побед чемпион  команд хозяев матч побед  мяч мяч дальн  гол мяч побед чемпионат   счет  побед гол забил российск команд чемпионат  чемпион  побед чемпионат финал гол мяч ворот счет   финал встреч  гол забил трен чемпионат  ворот
sport,украинск встреч забил      чемпионат тур
sport,команд золот команд    
sport,встреч команд чемпионат хозяев команд мяч мяч    
sport,чемпионат побед команд встреч ворот хозяев ворот гол команд            2 2
sport,чемпионат встреч счет
sport,президент выбор выбор президент президент организац    кандидат депутат президент команд  кандидат президент кандидат  чемпион
sport,чемпионат счет хозяев команд
sport,динам российск встреч счет  гол ворот динам забил  побед сезон динам
sport,счет команд забил ворот  финал
sport,турнир турнир команд турнир турнир
sport,побед чемпионат встреч счет
sport,чемпионат встреч счет  гол забил побед  матч побед хозяев счет забил гол
sport,команд чемпионат  трен    матч
sport,      команд динам встреч    команд ворот  команд мяч дальн гол сезон российск  картин    
sport,матч команд ворот встреч динам трен команд выбор ворот встреч встреч
sport,трен моуринь  моуринь чемпионат трен интерн компан пользовател моуринь  трен чемпионат   представлен  моуринь команд моуринь команд чемпионат моуринь чемпион
sport,матч финал динам донецк   донецк   динам счет донецк команд украин донецк погиб
sport,чемпионат турнир  чемпионат матч финал      чемпионат турнир
sport,матч побед золот чемпионат  чемпион российск чемпионат счет титул чемпионат побед российск титул чемпион    динам            2  2  2    чемпионат российск команд титул  побед  сезон команд российск  
sport,команд финал финал счет счет побед   побед матч ворот матч финал  матч
sport,счет гол забил  команд  трен команд счет  выиграл чемпионат
sport,чемпионат счет побед команд
sport,трен команд сезон трен    трен  команд  сезон матч  чемпионат трен команд побед  команд чемпион команд чемпионат  
sport,город чемпионат  чемпион    росси
sport,трен сезон матч чемпионат  чемпион  
sport,команд    команд чемпионат  финал чемпион счет  команд    сезон  чемпионат чемпион
sport,побед чемпионат счет  ворот мяч гол чемпионат мяч  ворот
sport,медведев  забил чемпионат сравнени российск чемпионат забил ворот
sport,золот  турнир золот побед  
economics,газпром компан газ газпром украин украин  киев газпром украинск    газпром компан газ газпром  компан  газпром милл газ украин киев украин скидк газ украинск  российск государ украин счет цен газ украин миллиард украин российск  украин  политическ украин министр протест украин  президент мвд государ украин украинск  крым референдум росси субъект российск крым  субъект крым город президент референдум  скидк газ украин  украин киев скидк газ миллиард российск  милл встреч министр медведев скидк украинск газпром  украин газ украин российск
economics, программ экономическ миллиард миллиард свердловск 
economics, организац субъект российск министр российск  регион президент российск цен  
economics,     компан просил  счет  компан экономическ  сотрудник компан  компан
economics,строитель  организац месяц  регион строитель 2    
economics,украин крым    украинск крым  украинск      украин  референдум регион город киев
economics,компан украин российск долг компан долг миллиард
economics,учен технолог greendatanet компан компан технолог цод greendatanet цод команд greendatanet цод цод   greendatanet цод компан цод команд greendatanet greendatanet президент компан регион цод цод цод цод учен цод
economics,выставк выставк представлен компан    представлен выставк оборудован выставк  выставк компан росси
economics,строитель  счет      кредит организац субъект субъект  запуск кредит
economics,президент президент
economics,строитель     строитель крым миллиард миллиард министр  министр подчеркнул  строитель 2 миллиард  строитель программ экономическ  строитель    компан министр коммерческ
economics,российск российск медведев российск млрд министр российск 
economics,         экономическ политическ кандидат экономическ экономическ экономическ экономическ экономическ  
economics,     показател миллиард  компан компан  интерн  активност экономическ
economics,       компан встреч  компан    произошл 2  
economics,    street счет  сравнени месяц активност  месяц компан  компан миллиард  росси
economics,российск    рынк  президент российск украин
economics,милл украин украин российск газ газпром украинск российск милл украин политическ украинск цен газ милл российск субъект газпром украин украинск украин милл российск украинск газпром украин украин газпром строитель
economics,дальн президент дальн программ  сотрудник компан дальн регион  дальн президент  газ аппарат дальн компан дальн  компан дальн министр российск  дальн  
economics,российск подчеркнул украин украин газ газ
economics,российск депутат парт медведев государ млрд медведев подчеркнул экономическ парт программ медведев подчеркнул дальн регион
economics, компан     компан украин сотрудник месяц счет компан  
economics,       министр экономическ    экономическ российск  показател политическ украин
economics,   встреч министр  украин российск министр   российск компан подчеркнул показател
economics,  здан здан  продаж  российск компан долг миллиард  город  компан компан украин  российск экономическ компан продаж российск
economics,рынк    росси 2 фонд  российск  рынк миллиард  росси политическ украин  росси
economics,президент украин российск  продаж российск продаж российск  украин росси украинск российск русск президент  российск украинск обнаружил украинск украин  российск украин украин  украин российск экономическ российск украинск украинск     украинск компан российск обнаружил российск украинск  президент побед выбор миллиард российск украинск незаконн  украинск украин украин украин  украинск политическ украинск украинск     украинск украинск  украин украинск политическ  украин российск украинск российск украин  украинск украинск украин украинск  росси украин украинск интернет российск смартфон google украинск компан российск украинск
economics,росси   росси организац  политическ украин  строитель
economics,    украин  российск    украин  месяц политическ украин государ миллиард
economics,украин поезд продаж поезд продаж поезд поезд поезд крым российск поезд продаж поезд встреч поезд росси украин крым росси украин крым украин президент украинск поезд подчеркнул поезд крым министр крым росси украин поезд российск поезд украинск поезд крым росси крым украин  
economics,украин млрд кредит газ украин   кредит газ  счет млрд газ украин киев газ  украин скидк украин газ украин скидк газ  милл газ газпром российск  млрд украин  млрд российск российск  украин счет счет млрд долг украин российск  министр медведев украин газ  российск медведев скидк газ украинск долг  украин киев 2 млрд российск газ российск млрд  российск российск украинск  росси украин украин украин украин
economics,российск street  украин российск  рынк  российск министр экономическ  российск политическ российск компан миллиард  месяц российск
economics,  украинск  
economics,росси украинск     украинск  украин киев доступ подчеркнул фонд государ  украин выбор экономическ цен киев  президент украин программ украин миллиард газ украин скидк  киев миллиард город украин скидк  украин миллиард  киев миллиард экономическ миллиард украин миллиард экономическ украинск газ
economics,сотрудник     компан компан  разработчик компан  google  компан  пользовател
economics,российск    российск коммерческ организац  организац  российск миллиард кредит  крым росси организац регион  
economics,долг украин газпром 2 миллиард    долг украин газпром миллиард российск украинск  скидк газ украин  министр медведев украин скидк  медведев украин росси  российск украин киев скидк президент российск кредит миллиард  украин
economics,организац крым министр министр медведев организац российск организац морск крым крым счет аэропорт  поезд автобус организац поезд поезд министр подчеркнул
economics,российск российск 
economics,сравнени  сравнени  дальн регион украин украин машин машин сравнени
economics,  встреч  встреч    регион    регион встреч компан    
economics,миллиард сравнени миллиард   сравнени миллиард миллиард миллиард компан миллиард сравнени продаж миллиард миллиард миллиард
economics,экономическ регион свердловск свердловск  регион программ президент  свердловск регион экономическ экономическ свердловск  экономическ регион устройств  регион технолог  представлен строитель чемпионат  регион свердловск
economics,киев газ  компан украинск политическ российск компан украин  политическ  киев газ российск медведев произошл украинск политическ
economics,фонд        
hi-tech,
hi-tech,смартфон  устрой устрой смартфон прибор samsung    увидет прибор компан microsoft samsung galaxy устрой  учен  разработчик смартфон электронн планшет учен
hi-tech,                  
hi-tech,   устрой 2  пользовател мод аппарат электронн обнаружил компан пользовател  компан
hi-tech,apple google патентн технолог компан компан apple google патентн apple google apple samsung технолог компан компан патентн компан apple apple компан google патентн apple смартфон операционн android google apple компан смартфон google продаж компан патентн apple  патентн устрой компан apple патентн apple компан технолог смартфон iphone планшет устрой samsung apple незаконн технолог патентн устрой apple  современн смартфон планшет
hi-tech,пользовател смартфон windows microsoft windows
hi-tech,2 аппарат пользовател 
hi-tech,компан microsoft устрой операционн компан устройств android операционн microsoft компан samsung windows   компан устрой samsung компан windows android операционн google устрой компан microsoft компан google компан microsoft операционн компан windows компан microsoft устрой
hi-tech,samsung смартфон samsung galaxy аппарат представлен samsung galaxy s5 аппарат samsung galaxy s5
hi-tech,компан google технолог google android google android
hi-tech,    программ устройств программ    программ фонд  программ устрой  устройств программ    президент организац  программ представлен  google программ устрой доступ
hi-tech,windows   программ операционн windows windows windows  программ планшет windows устройств процессор  программ windows операционн  windows  
hi-tech,google машин street  компан google машин street street  компан google  google street google google улиц город
hi-tech,samsung galaxy galaxy s5 galaxy galaxy смартфон galaxy galaxy s5 представлен galaxy
hi-tech,компан apple процессор устройств компан apple процессор iphone планшет выставк компан процессор смартфон планшет операционн процессор устрой смартфон планшет android устрой apple windows
hi-tech,интерн пользовател интерн     активност коммерческ    молод  электронн  
hi-tech,   встреч произведен  коммерческ долг
hi-tech,украин украин спутник  спутник
hi-tech,украин интерн крым яндекс крым сервис яндекс сервис яндекс  крым крым google microsoft крым
hi-tech,робот    робот компан  фестивал робот робот 2    робот смартфон samsung galaxy процессор устрой смартфон программ команд  робот робот робот робот
hi-tech,смартфон samsung   компан samsung смартфон galaxy samsung  смартфон пользовател  смартфон  смартфон  samsung продаж смартфон galaxy процессор
hi-tech,ракет спутник  ракет орбит  космическ космическ программ  космическ аппарат доступ
hi-tech,     компан компан  современн  компан  компан  устрой  компан
hi-tech,google google компан google программ google компан пользовател google google
hi-tech,доступ российск росси российск 
hi-tech,apple iphone продаж смартфон компан apple apple iphone процессор apple iphone iphone
hi-tech,    компан apple смартфон iphone планшет программ  пользовател устройств apple программ российск  программ    соцсет смартфон  церемон 2
hi-tech,iphone    компан apple смартфон iphone  смартфон iphone представлен мод iphone  iphone компан apple  apple смартфон  apple iphone  apple apple традиц
hi-tech,microsoft планшет microsoft компан устрой представлен новинк электронн устрой windows
hi-tech,  компан компан прем российск  компан
hi-tech,смартфон street интерн amazon смартфон street amazon смартфон amazon устрой смартфон сезон смартфон amazon смартфон amazon устрой компан apple интерн amazon устрой электронн планшет
hi-tech,компан microsoft компан  месяц компан microsoft компан традиц    доступ windows windows сервис microsoft  
hi-tech, команд робот выставк робот  выставк робот робот    робот аппарат  российск компан учен программ команд гол робот гол      представлен робот   робот выставк  робот фильм робот команд робот  робот машин коммерческ выставк робот аппарат  робот компан  робот робот 
hi-tech,blackberry смартфон компан  чен компан устрой  продаж смартфон blackberry компан 2 blackberry  blackberry смартфон apple пользовател blackberry компан сотрудник  чен blackberry рынк чен  blackberry компан технолог устрой смартфон устрой blackberry устройств
hi-tech,    операционн iphone компан apple программ пользовател  программ  программ активност пользовател  смартфон устрой пользовател  apple устрой samsung galaxy apple  операционн apple компан apple сервис
hi-tech,дом технолог дом    
hi-tech,выставк компан android процессор устрой  месяц процессор счет  устрой  android компан устрой выставк представлен
hi-tech,компан amazon интерн  amazon фильм доступ
hi-tech,интерн технолог  программ  новинк соцсет российск  программ город
hi-tech,apple iphone  смартфон iphone смартфон iphone  компан apple продаж смартфон iphone iphone  смартфон интерн apple  iphone смартфон  аппарат iphone смартфон процессор apple аппарат iphone  iphone представлен apple смартфон iphone процессор  iphone apple iphone  iphone apple 2
internet,     ресурс              полиц  полиц
internet,доступ интерн   доступ интерн роскомнадзор интерн  роскомнадзор  пользовател возбужден уголовн  роскомнадзор доступ незаконн
internet,робот     программ робот  программ район программ    программ  программ подчеркнул робот
internet,роскомнадзор twitter   роскомнадзор сервис twitter доступ twitter компан доступ соцсет ресурс twitter российск twitter twitter ресурс газ российск медведев российск
internet,российск продаж     сервис электронн ресурс  сервис электронн интерн
internet,президентск        ресурс президентск  организац  ресурс аккаунт  интерн  доступ
internet,  крым крым яндекс крым российск пользовател пользовател украин  сервис сервис картин  яндекс сервис компан украин  крым  референдум киев референдум
internet,украин соцсет запуск соцсет украинск российск соцсет ресурс
internet,twitter     министр twitter  митинг город  twitter сервис аккаунт  
internet,  компан  соврем устрой    компан
internet,        аккаунт доступ  аккаунт миллиард
internet,украин русск сервис  сервис  единиц украинск сервис яндекс  сервис пользовател сервис
internet,конкурс  конкурс конкурс  конкурс интерн церемон город  конкурс росси  финал конкурс номинац инновац росси побед номинац фонд организац
internet,google  команд google команд компан разработчик  google
internet,вконтакт  вконтакт  миллиард вконтакт  аккаунт  аккаунт вконтакт министр медведев  чемпион
internet,запуск сотрудник министр государ
internet,яндекс российск компан  яндекс    яндекс украин  политическ экономическ яндекс яндекс  росси экономическ регион яндекс
internet,украинск роскомнадзор  ресурс  российск пользовател
internet,нато    нато протест  украин нато украинск  украинск    нато  российск украин
internet,интернет  российск  интерн  интерн ресурс устрой  организац доступ пользовател
internet,яндекс интерн ресурс  российск      
internet,            миллиард аккаунт программ
internet,yahoo  пользовател  yahoo сервис  yahoo компан
internet,вконтакт    операционн вконтакт вконтакт    вконтакт продаж  вконтакт президент президент  компан сотрудник
internet,     доступ сил  российск  компан  сотрудник сотрудник
internet,роскомнадзор     роскомнадзор  интерн  подчеркнул аккаунт интерн  компан  депутат роскомнадзор аккаунт депутат аккаунт вконтакт twitter аккаунт  интерн сотрудник
internet,  яндекс электронн  ресурс счет    электронн
internet,twitter пользовател street  пользовател twitter сервис город  пользовател сервис месяц сервис  аккаунт  аккаунт месяц twitter пользовател  twitter сервис  аккаунт сервис twitter компан
internet,    компан сотрудник  ресурс команд творческ       днк компан  конкурс конкурс  компан
internet,google сервис месяц
internet,млрд  компан  млрд млрд  интерн
internet,яндекс  крым крым сервис крым  украин крым пользовател украин яндекс сервис пользовател российск    google крым  референдум киев референдум
internet, компан  активност месяц   активност пользовател программ российск месяц программ
internet,сервис доступ технолог доступ сервис сервис сервис украин музыкальн фестивал
internet,twitter    twitter
internet,украин        сервис регион
internet,российск город доступ  город город  доступ интерн российск город интернет  интерн интернет интерн ресурс интерн  российск регион доступ интерн
internet,вконтакт месяц роскомнадзор   вконтакт президент роскомнадзор вконтакт экономическ вконтакт роскомнадзор интерн роскомнадзор компан доступ пользовател пользовател фильм  интерн ресурс интерн компан соцсет вконтакт яндекс google сервис интерн компан   компан 
internet,android google интерн компан google android   интерн программ google интерн ресурс  сервис
internet,     2 роскомнадзор организац twitter  роскомнадзор вконтакт    2  украин задержан  сотрудник политическ парт президент
internet,google компан компан google компан google   google  
internet,аккаунт twitter twitter twitter прем сервис  российск twitter
internet,роскомнадзор доступ  роскомнадзор доступ  интернет роскомнадзор доступ    незаконн  роскомнадзор интерн возбужден уголовн  интернет
internet,компан смартфон компан  компан
internet,     команд интерн  интернет  митинг пушкинск митинг  доступ российск интернет роскомнадзор роскомнадзор депутат  
internet,представлен компан google интерн google интерн компан интерн google 2
internet,twitter  twitter twitter  доступ сервис twitter  министр  компан twitter  министр twitter  twitter сервис аккаунт
culture,     фильм  картин  фильм прем постановк  российск картин фильм картин  фильм кин
culture,фильм    интерн фильм    фильм картин  фильм  фильм картин актер
culture,музе  концерт увидет театр российск  
culture,спектакл театр постановк театр  золот спектакл художник  номинац театр церемон прем золот  золот номинац спектакл постановк спектакл
culture,концерт    концерт компан российск  концерт  российск            представлен    фильм        
culture,фестивал российск  концерт театр фестивал программ концерт  украинск культур украинск
culture,российск фестивал  артист артист  фестивал побед творческ встреч актер
culture,спектакл увидет российск постановк актер режиссер театр
culture,фестивал  представлен увидет  фестивал выставк марафон  выставк марафон истори марафон концерт
